blind_item_id,visible_state,current_user_text,candidate_move,atomicity,state_appropriateness,boundary_compatibility,executability,leakage,redundancy_near_duplicate,rationale,reviewer_id
rs_semblind_92d6f308442c69c1352b6af7,"seeker: It's been tough. I've been looking for a job for months, but feel like I'm getting nowhere.
supporter: I'm sorry to hear that but if i may hear your you clearly, what you are saying is that you don't have any job for a long time now
seeker: Well, I am fortunate to have a job, but I am seeking a different job because the one I have does not pay what my skills are worth. It barely pays enough for me to pay my essential bills.
supporter: ok, that is a bit of relief
supporter: have u check for job vacancy in your state
seeker: I have, but there are few decent jobs out there. Most available jobs are in locations where one can not drive safely or their personal safety is at risk.","I have, but there are few decent jobs out there. Most available jobs are in locations where one can not drive safely or their personal safety is at risk.",suggest looking for jobs on indeed.com or craigslist,,,,,,,,
rs_semblind_ba2511fac083cfc692686027,"supporter: She even recommends work for teens
seeker: n i will i have it on another tab as soon as im done here im going there to check it out
seeker: my daughter definitely nds a job shes getting expensive
supporter: OK Good night
seeker: gn
seeker: n merry early christmas","gn
n merry early christmas",suggest a way to earn extra income,,,,,,,,
rs_semblind_aa7b61c2893ec391c40fb2a9,"seeker: yes . i am so attarctive to baby .. i though nobody will take care of baby as much as i can .So unble to concentrate on job prparation
supporter: Whenever I have important dates coming up , I always take time to myself and try and focus on the task at hand . Have you tried methods like this ?
seeker: noo , but here about the upgrade skills and search for new job as a new mom
supporter: Just from chatting with you ,I can completely understand how that can be overwhelming .
supporter: Just from chatting with you ,I can completely understand how that can be overwhelming .
seeker: i dont know what are you talking about",i dont know what are you talking about,acknowledge the user's progress and affirm their efforts,,,,,,,,
rs_semblind_6eaa8c163252068c8068d97a,"supporter: You have been the best you could be for him and it has got to feel really sad to let him go. It can feel like a death sometimes when you lose someone or a pet.
seeker: If he died it would be OK, I would mourn him and move on. But I have never had to give up a pet before. I just think most people. wont take care of him like I do. Because he is still alive, I will worry about him
supporter: I understand a little bit of how you feel. My dog died recently and it was really hard when the vet had to put him down. I was really sad and would cry when I thought of him ort the things we used to do together.
seeker: Yes, I was depressed for 6 months after my parrot died, but eventually we move on. I dont know that I can move on after giving him up
supporter: Would you ever consider getting a pet that is not as loud? I am not suggesting that you replace him.
seeker: No, except a seeing dog","No, except a seeing dog",validate the user's idea as positive and encouraging,,,,,,,,
rs_semblind_a6fd2701d2698a14e24fdfbc,"supporter: I also was helped a lot by a Christian Preacher, he's long dead, but he has audio on youtube -- Frank Hammond, Pigs in the Parlor. It's a 5 part series I found helpful, you might want to jot that down. And I do encourage you to find a counselor, once you rule out the physical (doctor) then you can look at emotional, mental and/or spiritual. I think most of everything is spiritual and emotional to some degree, and our body just responds to that.
seeker: I always lose sight of how to make things better. It really helps to talk sometimes so someone can help me put things into perspective. I'll look into Frank Hammond! I am actually religious and would love to look into that.
supporter: I will definitely pray for you tonight because I know losing sleep is hard to deal with. But please have hope, sometimes we go through these things to possible get to deeper issues that might need to be dealt with. We only have a few minutes here, but I'm pretty old and I have found this to be true so many times. Get a good support system of good friends. Having people who ""get"" you is SO vital to our lives. And learning to be grateful helps too. And especially journal, find out what may be bothering you.
supporter: I had some abuse issues and that is why I had a hard time resting. I also would wake up in the middle of the night and obsess over problems with people. I had a lot to work through, but most nights, I sleep restful now. It may take time.
supporter: I have hope for you! :D
seeker: That sounds very similar to my situation! I always had some abuse issues. Thank you so much . Talking to you made me feel a lot better",That sounds very similar to my situation! I always had some abuse issues. Thank you so much . Talking to you made me feel a lot better,reaffirm willingness to help and invite future conversation during times of anxiety,,,,,,,,
rs_semblind_89226e7b6066fd0b8cf51aab,"seeker: He was. Except she still doesn't know about me.
seeker: No children.
supporter: Has he been contacting you lately
seeker: It is very hard for me because I feel lost. He was a huge part of my life and I thought my future. Now I don't know what to do.
supporter: was he your 1st love
seeker: Not my first love but the first guy I talked marriage with. He still talks to me. It is kind of hard when you are used to talk a lot every day for over a year.",Not my first love but the first guy I talked marriage with. He still talks to me. It is kind of hard when you are used to talk a lot every day for over a year.,provide information about people finding partners later in life,,,,,,,,
rs_semblind_7a8a03edeae3ec8e458265ed,"supporter: I am sorry to hear that but try not to panic, just failing one class is not the end of the world. How do you feel about retaking it?
seeker: I don't mind retaking it, really
supporter: Ah so you feel that this is going to be severely disruptive to your plans for this winter break?
seeker: yha. also, im worried i might fail again if i get too distracted by my family
supporter: Is it possible for you to get any sort of private tutoring which might help you?
seeker: i mean, tutoring is just another added time commitment. I really failed the first time because i was depressed and unmotivated. which is why I'm excited to be with my family finally","i mean, tutoring is just another added time commitment. I really failed the first time because i was depressed and unmotivated. which is why I'm excited to be with my family finally",reassure the user that they can achieve their dreams and make a difference,,,,,,,,
rs_semblind_f47c847c25cc013f7f2cc9df,"supporter: I'm sorry to hear that. I've dealt with something similar earlier this year myself. I know how you are feeling. Have you tried to reach out to her and let her know how you've felt?
supporter: I'm sorry to hear that. I've dealt with something similar earlier this year myself. I know how you are feeling. Have you tried to reach out to her and let her know how you've felt?
seeker: Yes i told her how i felt and she said she was just busy. I just feel like she is taking me for granted and Im not a priority.
seeker: I feel like we are all busy but I would find time for her and I dont feel she is doing the same for me.
supporter: I see. I would feel the same way if it were in your position. You seem like a person who would go above and beyond for a good friend.
seeker: Thank you. I try to be a good friend. My husband thinks I should just not talk to her anymore but we have been friends for almost 10 years.",Thank you. I try to be a good friend. My husband thinks I should just not talk to her anymore but we have been friends for almost 10 years.,suggest focusing on self-care to improve emotional well-being,,,,,,,,
rs_semblind_3e7941a53217312ff80f76e4,"supporter: hi how are you today?
seeker: I am doing okay.",I am doing okay.,state their own current state as alright,,,,,,,,
rs_semblind_dc84709128e7a403a6399329,"supporter: it*
seeker: Do you have any feeling like me now are before
supporter: You mentioned you feel sad and unloved but you have a good family. Do you feel as if you lack a good support systems within your family?
seeker: My problem is i have a good job. But i want to follow my passion . I need my job at the same time i want to follow my passion. But my parents said don't quit my job
supporter: No, not any more. I have to reflect on what was causes my feelings to be so negative and i corrected them.
seeker: Yes you are correct",Yes you are correct,acknowledge the presence of a supportive person in the user's life,,,,,,,,
rs_semblind_88782744d21aa99a23cab0fe,"seeker: Yes..
supporter: Have you started looking for a new one?
supporter: I know this is difficult but the best thing I would recommend is moving on.
seeker: Not yet. Not sure where to start.
supporter: Do you have a linkdin account?
seeker: I do, but not up to date.","I do, but not up to date.",acknowledge the conversation and wish the user well,,,,,,,,
rs_semblind_0a293b7ba3d119e009a61d05,"seeker: Talking a walk is a good idea. Unfortunately it is cold today but tomorrow it is supposed to be nicer.
seeker: *taking
supporter: Yeah, I like to clear my head by taking a walk. I know it is a temporary relief, but it helps regulate my mood. Do you live with people, do you have conversation with people regularly?
seeker: No I live alone. I don't like the people at work either so I don't talk to them. Every now and then I talk to a friend via text, I see my family rarely but will see them this weekend due to the holiday.
supporter: It sounds like you know what you are doing and you have a support system of your choice. Do you share stories like breaking up with girlfriend with them?
seeker: I share a little but don't want to burden anyone with my issues.",I share a little but don't want to burden anyone with my issues.,disclose personal experience of being shy,,,,,,,,
rs_semblind_0e742fd72f6a662c8837c75c,"seeker: He started saying things that are just factually not correct. I get that the immune system is super complicated, and most people don't know much about it. But when I'd try to explain some things to him, he acted like I couldn't possibly know anything he didn't, after reading one Forbes article, and he started making personal attacks.
supporter: I think that perhaps you do not need this toxic person in your life. After fifteen years without him do you really feel you need to stay r reconciled?
seeker: I don't need him, no... But he's funny, and I don't have too many people in my life right now. I just moved to a new state where I literally know no one.
supporter: In that case perhaps you can just agree to disagree on this topic? If you don't want to risk the friendship :). I hope I have been able to be of some help to you today and thank you for talking!
seeker: And I'm also hurt and annoyed that he thinks I have anything to apologize for, when I put up with his acid tongued comments, and just turn the other cheek. I agree we should just go on, but I'm not going to apologize, when I didn't do anything.
seeker: Anyway - yes. I agree with you. Thanks for the talk. Take care!","And I'm also hurt and annoyed that he thinks I have anything to apologize for, when I put up with his acid tongued comments, and just turn the other cheek. I agree we should just go on, but I'm not going to apologize, when I didn't do anything.
Anyway - yes. I agree with you. Thanks for the talk. Take care!",inform the user about availability of free therapy sessions for people in need,,,,,,,,
rs_semblind_2bb6ca3a340410f6ed706a7e,"supporter: Hello :-)
seeker: Hi
supporter: How are you doing?
seeker: Today hasn't been too bad
supporter: Anything you need to talk about?
seeker: Lately I have been having trouble sleeping",Lately I have been having trouble sleeping,invite the user to share what is happening,,,,,,,,
rs_semblind_bf99317f4f607b44ba9c42f3,"seeker: Yes. Particularly in pandemic times.
supporter: It sounds like you have a good handle on your situation. Is there anything else I can help you with?
seeker: In your opinion, Am I in the right path?
supporter: Yes. Time will help you resolve this issue. You will gain perspective on what's out there.
supporter: More opportunities will come up if you have time to investigate.
seeker: We, I and my wife, also think the same way. Even if takes some time, better to wait. But we were having an oscillation. After chatting with you, we feel supportive of our thinkings.","We, I and my wife, also think the same way. Even if takes some time, better to wait. But we were having an oscillation. After chatting with you, we feel supportive of our thinkings.",ask whether the advice is helpful,,,,,,,,
rs_semblind_146e217fafd8d2eb73d7bda0,"seeker: Sure, I guess sex and cuddling is nice, but what I really want is someone to shopping with and eventually build a future
supporter: Have you considered getting some sort of counselling, either just you or as a couple?
seeker: It has peaked my interest, but at the same time, I wonder how much of this is just me buried in the idea of a relationship, even though it's pretty one-sided now
seeker: Should I seek counseling for a relationship that technically wasn't official?
supporter: I am hearing you say that you still have feelings for her but you are not sure whether to totally break away or not, given that she has
seeker: Yes. I hate how I love her, but I'm not getting the same energy back","Yes. I hate how I love her, but I'm not getting the same energy back",suggest using online resources to process infidelity,,,,,,,,
rs_semblind_8766361f6ba86ddedc1a8fdc,"supporter: Hello my name is Lisa, how are you today?
seeker: Hi, I'm Megan. I'm just looking for some help really, I've been feeling down for a while and it's affecting my sleep. I feel tired during the day but cant fall or stay asleep at night.","Hi, I'm Megan. I'm just looking for some help really, I've been feeling down for a while and it's affecting my sleep. I feel tired during the day but cant fall or stay asleep at night.",acknowledge the user's report of daytime tiredness due to poor sleep,,,,,,,,
rs_semblind_ac608da98d632343146fd20d,"seeker: Hello, how are you?
supporter: Hi there, how are you feeling?
seeker: I'm alright, honestly I'm feeling rather ashamed. The reason for that and the problem that I'm facing is that I've had a drinking problem for quite a few years now, and I'm only 24 years old. Right now in my life I'm ready to seek help, but I'm having a lot of anxiety about it because I'm very worried about how others will judge me. I'm worried about how the counselors will see me, how others at a facility might view me, and any one else that I will have to share my story with when getting treatment and how they might view me. I'm ashamed of myself, my life, and the choices that I've made that have gotten me here and I guess my problem is that I just dont know how to get over these extreme anxieties and worries so that I can just finally make the step that I need so desperately and get help.","I'm alright, honestly I'm feeling rather ashamed. The reason for that and the problem that I'm facing is that I've had a drinking problem for quite a few years now, and I'm only 24 years old. Right now in my life I'm ready to seek help, but I'm having a lot of anxiety about it because I'm very worried about how others will judge me. I'm worried about how the counselors will see me, how others at a facility might view me, and any one else that I will have to share my story with when getting treatment and how they might view me. I'm ashamed of myself, my life, and the choices that I've made that have gotten me here and I guess my problem is that I just dont know how to get over these extreme anxieties and worries so that I can just finally make the step that I need so desperately and get help.",ask the user if the supporter's interpretation of their situation is accurate,,,,,,,,
rs_semblind_aa23c3a1fb0079477a2e17d1,"supporter: Managing things all become stressful, but Im sure you are really good at what you are doing!
seeker: im so tired all the time
seeker: i feel lik everything i do just isnt enough
seeker: how do you handle things and stress?
supporter: Thats are not true, You have beautiful kids, work and pursuing master's . You are a great achiever
seeker: i guess",i guess,acknowledge the user's stress about not being able to find a job,,,,,,,,
rs_semblind_08aa71989551ad8e8eb07086,"supporter: How long are you doing the online school?
seeker: Last semester and this semester. It feels like a lot longer though.
supporter: What are you missing most? Friends?
seeker: A balance in life. I spend so much time online. I'm always staring at a screen. I would like to get aware from the computer.
supporter: As the vaccination started, I believe we will be back to normal soon..
seeker: Yeah, I can't wait for things to return to normal. Until then, I don't know what I can do to feel normal.","Yeah, I can't wait for things to return to normal. Until then, I don't know what I can do to feel normal.",rephrase the shared experience of waiting for normal life to resume,,,,,,,,
rs_semblind_55e069e23f5b249bc7c67b9f,"seeker: i didnt expect this conversation to actually help me, thankyou
seeker: neat, saltwater or freshwater?
seeker: we have a salt reef tank and a cat as well named perch
supporter: It was better when we could request payment daily now soonest is 3 days and I ll tell you what . It has saved us a few times even though it was like $30 it was enough to hold us to payday fri
seeker: I have to agree any littel amount helps
seeker: yea i only saw the 3 day option","I have to agree any littel amount helps
yea i only saw the 3 day option",acknowledge the slowness of their typing response,,,,,,,,
